"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Persicaria mitis (Schrank) Assenov",47.9,100,47.9,47.9
"Elatine alsinastrum L.",73.5,100,73.5,73.5
"Potentilla argentea L.",97.1,300,73.5,64.5
"Medicago turbinata (L.) All.",86.8,400,73.5,2.2
"Trigonella wojciechowskii Coulot & Rabaute",96.4,400,69.2,23.2
"Callitriche truncata Guss. s.l.",73.5,100,73.5,73.5
"Hibiscus pentacarpos L.",11.9,100,11.9,11.9
"Micromeria juliana (L.) Benth. ex Rchb.",20.2,200,11.7,9.7
"Vicia pannonica Crantz subsp. striata (M.Bieb.) Nyman",2.8,100,2.8,2.8
"Sparganium erectum L.",79.1,400,57.8,2.2
"Bidens tripartita L. subsp. tripartita",51.4,200,50.2,2.2
"Apium graveolens L.",93.1,500,77,1.2
"Imperata cylindrica (L.) Raeusch.",74.5,300,44.6,23.2
"Pulicaria sicula (L.) Moris",96.2,400,69.2,47.8
"Salicornia fruticosa L.",57.7,200,50.2,14.9
"Amaranthus graecizans L. subsp. sylvestris (Vill.) Brenan",770.2,100,770.2,770.2
"Rumex patientia L. subsp. patientia",34.1,100,34.1,34.1
"Oxybasis rubra (L.) S.Fuentes, Uotila & Borsch",114.6,300,379.6,53.1
"Stellaria aquatica (L.) Scop.",76.8,300,57.8,2.2
"Salix cinerea L.",99.1,600,70.9,2.2
"Triglochin palustris L.",57.8,100,57.8,57.8
"Spergula pentandra L.",43.9,100,43.9,43.9
"Pinus halepensis Mill. subsp. halepensis",44.6,100,44.6,44.6
"Spiranthes spiralis (L.) Chevall.",74.2,300,53,2.2
"Anogramma leptophylla (L.) Link",20.3,100,20.3,20.3
"Acanthus mollis L. subsp. mollis",34.1,100,34.1,34.1
"Micromeria graeca (L.) Benth. ex Rchb. subsp. graeca",51.4,200,50.2,2.2
"Crepis bellidifolia Loisel.",53,100,53,53
"Stachys germanica L. subsp. salviifolia (Ten.) Gams",94.8,300,74,31.8
"Tulipa agenensis DC.",12.5,100,12.5,12.5
"Tulipa sylvestris L.",35,100,35,35
"Romulea rollii Parl.",74.7,100,74.7,74.7
"Trigonella alba (Medik.) Coulot & Rabaute",64.8,300,53,2.2
"Odontites vernus (Bellardi) Dumort. subsp. serotinus (Dumort.) Corb.",59.6,200,58.7,2.2
"Erigeron bonariensis L.",3.4,200,2.2,1.2
"Veronica peregrina L.",19.8,100,19.8,19.8
"Centaurea calcitrapa L.",99.9,300,98.9,2.2
"Primula vulgaris Huds. subsp. vulgaris",2.3,100,2.3,2.3
"Cytisus laniger DC.",2.3,100,2.3,2.3
"Isoetes histrix Bory",100,1600,72.8,7
"Atriplex halimus L.",34.6,100,34.6,34.6
"Fimbristylis dichotoma (L.) Vahl",24.9,100,24.9,24.9
"Cirsium monspessulanum (L.) Hill",2.2,100,2.2,2.2
"Daucus broteroi Ten.",2.2,100,2.2,2.2
"Schenkia spicata (L.) G.Mans.",33.6,300,30.6,2.2
"Glebionis coronaria (L.) Spach",2.2,100,2.2,2.2
"Ophrys tetraloniae W.P.Teschner",32.7,100,32.7,32.7
"Isolepis setacea (L.) R.Br.",52.2,200,50.5,3.5
"Malva nicaeensis All.",20.2,100,20.2,20.2
"Lathyrus clymenum L.",178.9,200,201.7,22.5
"Utricularia minor L.",72.5,100,72.5,72.5
"Medicago intertexta (L.) Mill.",105.8,300,106,2.2
"Pistacia terebinthus L. subsp. terebinthus",44.2,300,30.5,2.3
"Asplenium ceterach L. subsp. ceterach",2.3,100,2.3,2.3
"Trifolium vesiculosum Savi",1489.8,500,692,23
"Asplenium ruta-muraria L. subsp. ruta-muraria",23,100,23,23
"Ophioglossum vulgatum L. subsp. vulgatum",70.8,100,70.8,70.8
"Laburnum anagyroides Medik. subsp. anagyroides",2,100,2,2
"Isoetes gymnocarpa (Gennari) A.Braun",96.2,300,66.6,66.5
"Juniperus turbinata Guss.",68.1,300,31.7,31.7
"Tragus racemosus (L.) All.",74.6,300,64.5,7
"Solanum villosum Mill.",2.3,100,2.3,2.3
"Oxybasis chenopodioides (L.) S.Fuentes, Uotila & Borsch",58.3,300,56.4,2.3
"Vicia lutea L.",4.4,200,2.3,2.2
"Urtica urens L.",61,300,59.2,2.2
"Trifolium echinatum M.Bieb.",5.4,300,2.2,1.1
"Trifolium scabrum L. subsp. scabrum",26,200,23.2,3.7
"Medicago marina L.",29.1,300,23.2,2.6
"Galega officinalis L.",24.9,200,23.2,2.2
"Echium plantagineum L.",32.2,200,30.6,2.2
"Bupleurum subovatum Link ex Spreng.",2.2,100,2.2,2.2
"Tragopogon porrifolius L.",24.9,200,23.2,2.2
"Lamium purpureum L.",2.2,100,2.2,2.2
"Crepis foetida L. subsp. foetida",24.9,200,23.2,2.2
"Galactites tomentosus Moench",13.2,200,11.2,2.2
"Valerianella dentata (L.) Pollich",3.3,200,2.2,1.1
"Ononis spinosa L. subsp. spinosa",24.9,200,23.2,2.2
"Sonchus oleraceus L.",2.2,100,2.2,2.2
"Sonchus tenerrimus L.",39.9,200,22.5,22.5
"Petrosedum rupestre (L.) P.V.Heath",2.2,100,2.2,2.2
"Valerianella echinata (L.) DC.",2.2,100,2.2,2.2
"Picris hieracioides L. subsp. hieracioides",24.9,200,23.2,2.2
"Picnomon acarna (L.) Cass.",2.2,100,2.2,2.2
"Cynara cardunculus L. subsp. cardunculus",2.2,100,2.2,2.2
"Carduus nutans L. subsp. nutans",2.2,100,2.2,2.2
"Cirsium italicum DC.",94.2,200,88.9,47.8
"Orlaya platycarpos W.D.J.Koch",2.2,100,2.2,2.2
"Centranthus ruber (L.) DC. subsp. ruber",2.2,100,2.2,2.2
"Gladiolus italicus Mill.",2.2,100,2.2,2.2
"Torilis nodosa (L.) Gaertn. subsp. nodosa",2.2,100,2.2,2.2
"Rosa corymbifera Borkh.",69.2,100,69.2,69.2
"Rosa canina L.",2.2,100,2.2,2.2
"Conium maculatum L. subsp. maculatum",2.2,100,2.2,2.2
"Ammi majus L.",2.2,100,2.2,2.2
"Bifora testiculata (L.) Spreng.",2.2,100,2.2,2.2
"Leontodon rosanoi (Ten.) DC.",2.2,100,2.2,2.2
"Aegopodium podagraria L.",2.2,100,2.2,2.2
"Callitriche brutia Petagna",2.2,100,2.2,2.2
"Digitaria sanguinalis (L.) Scop.",2.2,100,2.2,2.2
"Bothriochloa ischaemum (L.) Keng",24.9,200,23.2,2.2
"Beckmannia eruciformis (L.) Host subsp. eruciformis",94.3,300,69.2,45.1
"Veronica polita Fr.",2.2,100,2.2,2.2
"Alopecurus rendlei Eig",24.9,200,23.2,2.2
"Agrostis capillaris L. subsp. capillaris",2.2,100,2.2,2.2
"Danthonia decumbens (L.) DC. subsp. decumbens",76.3,200,69.2,23.2
"Sesleria argentea (Savi) Savi",9.7,100,9.7,9.7
"Rostraria cristata (L.) Tzvelev",24.9,200,23.2,2.2
"Tamarix africana Poir.",69.2,100,69.2,69.2
"Tolpis virgata (Desf.) Bertol. subsp. virgata",19.1,100,19.1,19.1
"Hyoseris radiata L.",23.2,100,23.2,23.2
"Cichorium intybus L.",2.2,100,2.2,2.2
"Epilobium parviflorum Schreb.",24.9,200,23.2,2.2
"Cota altissima (L.) J.Gay",2.2,100,2.2,2.2
"Achillea millefolium L. subsp. millefolium",2.2,100,2.2,2.2
"Petasites hybridus (L.) G.Gaertn., B.Mey. & Scherb. subsp. hybridus",2.2,100,2.2,2.2
"Poa compressa L.",2.2,100,2.2,2.2
"Matricaria chamomilla L.",2.2,100,2.2,2.2
"Puccinellia distans (Jacq.) Parl. subsp. distans",55.6,200,45.1,19.1
"Artemisia caerulescens L. subsp. caerulescens",55.6,200,45.1,19.1
"Misopates orontium (L.) Raf.",2.2,100,2.2,2.2
"Scrophularia umbrosa Dumort. subsp. umbrosa",2.2,100,2.2,2.2
"Vicia dasycarpa Ten.",28.7,300,13.8,4.6
"Oenanthe fistulosa L.",89.5,200,69.2,66
"Sclerochloa dura (L.) P.Beauv.",96.8,300,69.2,66
"Foeniculum vulgare Mill. subsp. vulgare",2.2,100,2.2,2.2
"Hainardia cylindrica (Willd.) Greuter",91.5,200,88.9,23.2
"Crithmum maritimum L.",190.8,100,190.8,190.8
"Lolium multiflorum Lam.",4.4,200,2.2,2.2
"Tordylium maximum L.",2.2,100,2.2,2.2
"Pulicaria vulgaris Gaertn.",24.9,200,23.2,2.2
"Lamium amplexicaule L.",2.2,100,2.2,2.2
"Lamium album L. subsp. album",2.2,100,2.2,2.2
"Jacobaea erucifolia (L.) P.Gaertn., B.Mey & Scherb. subsp. erucifolia",2.2,100,2.2,2.2
"Veronica hederifolia L.",0.4,100,0.4,0.4
"Tussilago farfara L.",2.2,100,2.2,2.2
"Inula helenium L. subsp. helenium",69.2,100,69.2,69.2
"Veronica cymbalaria Bodard subsp. cymbalaria",2.2,100,2.2,2.2
"Artemisia vulgaris L.",0.4,100,0.4,0.4
"Bellis sylvestris Cirillo",9.7,100,9.7,9.7
"Galeopsis ladanum L.",23.2,100,23.2,23.2
"Jasione montana L.",17.2,200,13.2,4.6
"Lolium temulentum L.",2.2,100,2.2,2.2
"Phleum paniculatum Huds. subsp. paniculatum",19.2,200,17.4,2.2
"Pimpinella peregrina L.",2.2,100,2.2,2.2
"Scolymus maculatus L.",47.8,100,47.8,47.8
"Ziziphora capitata L. subsp. capitata",2.2,100,2.2,2.2
"Narcissus tazetta L. subsp. tazetta",2.2,100,2.2,2.2
"Erysimum cheiri (L.) Crantz",2.2,100,2.2,2.2
"Allium nigrum L.",2.2,100,2.2,2.2
"Ornithogalum divergens Boreau",2.2,100,2.2,2.2
"Glyceria maxima (Hartm.) Holmb. subsp. maxima",2.2,100,2.2,2.2
"Allium neapolitanum Cirillo",2.2,100,2.2,2.2
"Allium polyanthum Schult. & Schult.f.",2.2,100,2.2,2.2
"Asphodelus fistulosus L.",2.2,100,2.2,2.2
"Allium savii Parl.",57.7,200,47.7,19.1
"Parietaria officinalis L.",2.2,100,2.2,2.2
"Allium pallens L.",69.9,200,69.2,2.2
"Muscari botryoides (L.) Mill. subsp. botryoides",2.2,100,2.2,2.2
"Colchicum autumnale L. subsp. autumnale",2.2,100,2.2,2.2
"Cicendia filiformis (L.) Delarbre",4477.1,300,692,232
"Centaurium maritimum (L.) Fritsch",71.4,200,62.8,23.2
"Dysphania botrys (L.) Mosyakin & Clemants",2.2,100,2.2,2.2
"Beta vulgaris L. subsp. vulgaris",2.2,100,2.2,2.2
"Lipandra polysperma (L.) S.Fuentes, Uotila & Borsch",47.9,300,30.6,2.2
"Chenopodium vulvaria L.",2.2,100,2.2,2.2
"Atriplex patula L.",0.4,100,0.4,0.4
"Chenopodium album L. subsp. album",2.2,100,2.2,2.2
"Rumex pulcher L. subsp. pulcher",2.2,100,2.2,2.2
"Chenopodium opulifolium Schrad. ex W.D.J.Koch & Ziz",2.2,100,2.2,2.2
"Chenopodiastrum hybridum (L.) S.Fuentes, Uotila & Borsch",2.2,100,2.2,2.2
"Oxybasis urbica (L.) S.Fuentes, Uotila & Borsch",106.8,200,106.9,2.2
"Persicaria hydropiper (L.) Delarbre",2.2,100,2.2,2.2
"Thymelaea passerina (L.) Coss. & Germ.",2.2,100,2.2,2.2
"Euphorbia chamaesyce L.",2.2,100,2.2,2.2
"Euphorbia lathyris L.",2.2,100,2.2,2.2
"Convolvulus cantabrica L.",9.7,100,9.7,9.7
"Convolvulus arvensis L.",2.2,100,2.2,2.2
"Aphanes arvensis L.",2.2,100,2.2,2.2
"Euphorbia falcata L. subsp. falcata",2.2,100,2.2,2.2
"Heliotropium europaeum L.",2.2,100,2.2,2.2
"Zannichellia palustris L.",2.2,100,2.2,2.2
"Anisantha rigida (Roth) Hyl.",24.9,200,23.2,2.2
"Euphorbia exigua L. subsp. exigua",2.2,100,2.2,2.2
"Phagnalon sordidum (L.) Rchb.",2.2,100,2.2,2.2
"Wolffia arrhiza (L.) Horkel ex Wimm.",2.2,100,2.2,2.2
"Salix triandra L. subsp. triandra",2.2,100,2.2,2.2
"Salix purpurea L. subsp. purpurea",2.2,100,2.2,2.2
"Phelipanche ramosa (L.) Pomel",2.2,100,2.2,2.2
"Orobanche crenata Forssk.",2.2,100,2.2,2.2
"Dittrichia graveolens (L.) Greuter",2.2,100,2.2,2.2
"Melica minuta L. subsp. minuta",9.7,100,9.7,9.7
"Salix alba L.",13.2,200,11.2,2.2
"Pentanema britannicum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",69.9,200,69.2,2.2
"Serratula tinctoria L. subsp. tinctoria",2.2,100,2.2,2.2
"Buglossoides arvensis (L.) I.M.Johnst. subsp. arvensis",2.2,100,2.2,2.2
"Melampyrum arvense L. subsp. arvense",0.4,100,0.4,0.4
"Scrophularia peregrina L.",2.7,200,2.2,0.4
"Salvia clandestina L.",17.8,200,13.8,4.6
"Lappula squarrosa (Retz.) Dumort.",2.2,100,2.2,2.2
"Mentha pulegium L. subsp. pulegium",0.4,100,0.4,0.4
"Astragalus glycyphyllos L.",5.1,200,4.6,0.4
"Securigera varia (L.) Lassen",2.2,100,2.2,2.2
"Mercurialis annua L.",2.2,100,2.2,2.2
"Serapias cordigera L. subsp. cordigera",2.2,100,2.2,2.2
"Cephalaria transsylvanica (L.) Roem. & Schult.",2.2,100,2.2,2.2
"Knautia integrifolia (L.) Bertol. subsp. integrifolia",2.2,100,2.2,2.2
"Sixalix atropurpurea (L.) Greuter & Burdet",2.2,100,2.2,2.2
"Lomelosia rutifolia (Vahl) Avino & P.Caputo",51.2,200,36.5,23.2
"Dasypyrum villosum (L.) P.Candargy",24.9,200,23.2,2.2
"Triticum neglectum (Req.ex Bertol.) Greuter",74.6,300,59.1,2.2
"Elymus caninus (L.) L.",0.4,100,0.4,0.4
"Carthamus lanatus L.",2.2,100,2.2,2.2
"Brassica nigra (L.) W.D.J.Koch",2.2,100,2.2,2.2
"Ophrys funerea Viv.",2.2,100,2.2,2.2
"Vicia peregrina L.",69.2,100,69.2,69.2
"Salvia pratensis L. subsp. pratensis",2.2,100,2.2,2.2
"Clinopodium nepeta (L.) Kuntze subsp. nepeta",24.9,200,23.2,2.2
"Berula erecta (Huds.) Coville",24.9,200,23.2,2.2
"Stachys romana (L.) E.H.L.Krause",2.2,100,2.2,2.2
"Daucus pumilus (L.) Hoffmanns. & Link",27.3,300,13.8,7.3
"Galium mollugo L.",2.2,100,2.2,2.2
"Moenchia erecta (L.) G.Gaertn., B.Mey. & Scherb. subsp. erecta",69.2,100,69.2,69.2
"Althaea cannabina L.",2.2,100,2.2,2.2
"Agrostemma githago L.",72.7,200,69.2,11.2
"Hypericum australe Ten.",69.2,100,69.2,69.2
"Trigonella smallii Coulot & Rabaute",23.2,100,23.2,23.2
"Kickxia elatine (L.) Dumort. subsp. elatine",2.2,100,2.2,2.2
"Kickxia spuria (L.) Dumort. subsp. spuria",47.8,100,47.8,47.8
"Centaurea solstitialis L. subsp. solstitialis",2.2,100,2.2,2.2
"Centaurea cyanus L.",2.2,100,2.2,2.2
"Chondrilla juncea L.",2.2,100,2.2,2.2
"Campanula erinus L.",2.2,100,2.2,2.2
"Medicago murex Willd.",2.2,100,2.2,2.2
"Herniaria hirsuta L. subsp. hirsuta",2.2,100,2.2,2.2
"Onopordum acanthium L. subsp. acanthium",2.2,100,2.2,2.2
"Sedum album L. subsp. album",2.2,100,2.2,2.2
"Sedum dasyphyllum L. subsp. dasyphyllum",0.4,100,0.4,0.4
"Astragalus hamosus L.",22.5,100,22.5,22.5
"Turgenia latifolia (L.) Hoffm.",2.2,100,2.2,2.2
"Lithospermum officinale L.",2.2,100,2.2,2.2
"Medicago orbicularis (L.) Bartal.",2.2,100,2.2,2.2
"Medicago lupulina L.",2.2,100,2.2,2.2
"Scorpiurus subvillosus L.",22.5,100,22.5,22.5
"Echium vulgare L. subsp. vulgare",2.2,100,2.2,2.2
"Coronilla scorpioides (L.) W.D.J.Koch",2.2,100,2.2,2.2
"Lathyrus sativus L.",0.4,100,0.4,0.4
"Torilis africana Spreng.",9.7,100,9.7,9.7
"Vicia benghalensis L.",76.3,200,69.2,23.2
"Trifolium repens L.",2.2,100,2.2,2.2
"Onobrychis viciifolia Scop.",23.2,100,23.2,23.2
"Trifolium ochroleucon Huds.",4.6,100,4.6,4.6
"Trigonella italica (L.) Coulot & Rabaute",22.5,100,22.5,22.5
"Trigonella officinalis (L.) Coulot & Rabaute",2.2,100,2.2,2.2
"Echium italicum L. subsp. italicum",24.9,200,23.2,2.2
"Eryngium campestre L.",2.2,100,2.2,2.2
"Cerastium glutinosum Fr.",23.2,100,23.2,23.2
"Spergularia marina (L.) Besser",76.7,300,51.9,19.1
"Hyoscyamus albus L.",24.9,200,23.2,2.2
"Asperula arvensis L.",2.2,100,2.2,2.2
"Sison amomum L.",20.7,200,19.1,2
"Phleum pratense L. subsp. pratense",2.2,100,2.2,2.2
"Sporobolus aculeatus (L.) P.M.Peterson",17.1,200,13.8,3.8
"Melica ciliata L. subsp. ciliata",2.2,100,2.2,2.2
"Leontodon tuberosus L.",2.2,100,2.2,2.2
"Cynosurus cristatus L.",0.4,100,0.4,0.4
"Cruciata laevipes Opiz",2.2,100,2.2,2.2
"Callitriche palustris L.",22.5,100,22.5,22.5
"Achillea ageratum L.",48.8,200,47.7,2.2
"Hieracium umbellatum L. subsp. umbellatum",68.6,200,59.1,23.2
"Eragrostis pilosa (L.) P.Beauv. subsp. pilosa",2.2,100,2.2,2.2
"Erodium acaule (L.) Bech. & Thell.",23.2,100,23.2,23.2
"Helichrysum luteoalbum (L.) Rchb.",69.3,200,69.2,0.3
"Eragrostis cilianensis (All.) Vignolo ex Janch. subsp. cilianensis",2.2,100,2.2,2.2
"Bromus squarrosus L. subsp. squarrosus",2.2,100,2.2,2.2
"Bromopsis benekenii (Lange) Holub",4.6,100,4.6,4.6
"Datura stramonium L.",79.9,300,69.2,14.9
"Hyoscyamus niger L.",2.2,100,2.2,2.2
"Medicago polymorpha L.",2.2,100,2.2,2.2
"Medicago ciliaris (L.) All.",47.8,100,47.8,47.8
"Moehringia pentandra Gay",2.2,100,2.2,2.2
"Linum strictum L. subsp. strictum",76.3,200,69.2,23.2
"Spergularia rubra (L.) J.Presl & C.Presl",88.4,200,66,65.7
"Ervilia sativa Link",2.2,100,2.2,2.2
"Calendula arvensis (Vaill.) L.",2.2,100,2.2,2.2
"Genista tinctoria L.",23.2,100,23.2,23.2
"Trifolium striatum L. subsp. striatum",89.5,200,69.2,66
"Solenopsis laurentia (L.) C.Presl",78.4,200,66,36.5
"Centaurea deusta Ten.",10.5,100,10.5,10.5
"Lysimachia minima (L.) U.Manns & Anderb.",36.5,100,36.5,36.5
"Glyceria spicata Guss.",13.2,100,13.2,13.2
"Gnaphalium uliginosum L.",69.6,200,66,10.5
"Salvia verticillata L. subsp. verticillata",10.5,100,10.5,10.5
"Bupleurum baldense Turra",36.5,100,36.5,36.5
"Mespilus germanica L.",10.5,100,10.5,10.5
"Salvia nemorosa L. subsp. nemorosa",10.5,100,10.5,10.5
"Calamagrostis epigejos (L.) Roth subsp. epigejos",74,200,59.1,36.5
"Vitex agnus-castus L.",36.5,100,36.5,36.5
"Narcissus tazetta L. subsp. aureus (Loisel.) Baker",2.9,100,2.9,2.9
"Rumex obtusifolius L. subsp. obtusifolius",66,100,66,66
"Euphorbia platyphyllos L.",36.5,100,36.5,36.5
"Achnatherum bromoides (L.) P.Beauv.",36.5,100,36.5,36.5
"Trifolium strictum L.",66,100,66,66
"Knautia arvensis (L.) Coult.",66,100,66,66
"Malva arborea (L.) Webb & Berthel.",77.2,200,53.4,51.1
"Ornithopus pinnatus (Mill.) Druce",660.2,100,660.2,660.2
"Potentilla pedata Willd. ex Hornem.",89.1,200,69.2,64.5
"Epilobium hirsutum L.",90.1,200,88.9,10.5
"Arctium tomentosum Mill.",2.9,100,2.9,2.9
"Solidago gigantea Aiton",10.5,100,10.5,10.5
"Hordeum secalinum Schreb.",66,100,66,66
"Trifolium ligusticum Balb. ex Loisel.",66,100,66,66
"Trifolium glomeratum L.",660.2,100,660.2,660.2
"Andryala integrifolia L.",69.2,100,69.2,69.2
"Dracunculus vulgaris Schott",69.2,100,69.2,69.2
"Typha minima Funk",45.1,100,45.1,45.1
"Anacyclus radiatus Loisel. subsp. radiatus",69.2,100,69.2,69.2
"Aira elegantissima Schur subsp. elegantissima",69.2,100,69.2,69.2
"Hieracium murorum L.",29.2,200,17.8,13.8
"Centaurea aspera L. subsp. aspera",69.2,100,69.2,69.2
"Sporobolus alopecuroides (Piller & Mitterp.) P.M.Peterson",40.1,100,40.1,40.1
"Tanacetum vulgare L. subsp. vulgare",69.2,100,69.2,69.2
"Prospero autumnale (L.) Speta",69.2,100,69.2,69.2
"Asphodelus ramosus L. subsp. ramosus",69.2,100,69.2,69.2
"Allium chamaemoly L. subsp. chamaemoly",69.2,100,69.2,69.2
"Allium coloratum Spreng.",69.2,100,69.2,69.2
"Plantago lagopus L.",69.2,100,69.2,69.2
"Quercus cerris L.",69.2,100,69.2,69.2
"Linum trigynum L.",69.2,100,69.2,69.2
"Quercus suber L.",69.2,100,69.2,69.2
"Ervilia sylvatica (L.) Schur",69.2,100,69.2,69.2
"Cutandia maritima (L.) Benth. ex Barbey",67.1,200,45.1,40.1
"Dianthus armeria L. subsp. armeria",68.3,100,68.3,68.3
"Crocus biflorus Mill.",85.2,200,69.2,51.9
"Romulea bulbocodium (L.) Sebast. & Mauri",69.2,100,69.2,69.2
"Geranium columbinum L.",69.2,100,69.2,69.2
"Trifolium bocconei Savi",69.2,100,69.2,69.2
"Trifolium micranthum Viv.",692,100,692,692
"Vicia disperma DC.",692,100,692,692
"Anthriscus sylvestris (L.) Hoffm. subsp. sylvestris",69.2,100,69.2,69.2
"Trifolium incarnatum L. subsp. incarnatum",69.2,100,69.2,69.2
"Cytisus villosus Pourr.",69.2,100,69.2,69.2
"Nepeta cataria L.",69.2,100,69.2,69.2
"Lathyrus sylvestris L. subsp. sylvestris",69.2,100,69.2,69.2
"Lathyrus palustris L.",692,100,692,692
"Linaria pelisseriana (L.) Mill.",112.1,100,112.1,112.1
"Allium roseum L. subsp. roseum",11.2,100,11.2,11.2
"Cynanchum acutum L. subsp. acutum",47.7,100,47.7,47.7
"Triglochin maritima L.",31.5,100,31.5,31.5
"Potamogeton perfoliatus L.",67.1,100,67.1,67.1
"Arisarum vulgare O.Targ.Tozz. subsp. vulgare",1.1,100,1.1,1.1
"Romulea ramiflora Ten. subsp. ramiflora",67.1,100,67.1,67.1
"Bupleurum tenuissimum L.",67.1,100,67.1,67.1
"Vicia cassubica L.",59.1,100,59.1,59.1
"Sparganium emersum Rehmann",88.9,100,88.9,88.9
"Crepis pulchra L. subsp. pulchra",88.9,100,88.9,88.9
"Cirsium oleraceum (L.) Scop.",17.8,100,17.8,17.8
"Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P.Wilson",88.9,100,88.9,88.9
"Geropogon hybridus (L.) Sch.Bip.",88.9,100,88.9,88.9
"Carlina lanata L.",88.9,100,88.9,88.9
"Trisetaria segetum (Savi) Soldano",88.9,100,88.9,88.9
"Podospermum laciniatum (L.) DC. subsp. laciniatum",88.9,100,88.9,88.9
"Pallenis spinosa (L.) Cass. subsp. spinosa",89.1,200,88.9,2
"Tanacetum parthenium (L.) Sch.Bip.",88.9,100,88.9,88.9
"Sphenopus divaricatus (Gouan) Rchb.",88.9,100,88.9,88.9
"Galeopsis angustifolia Hoffm. subsp. angustifolia",88.9,100,88.9,88.9
"Bromus arvensis L. s.l.",88.9,100,88.9,88.9
"Lysimachia punctata L.",88.9,100,88.9,88.9
"Filipendula vulgaris Moench",88.9,100,88.9,88.9
"Convolvulus silvaticus Kit.",88.9,100,88.9,88.9
"Damasonium alisma Mill.",88.9,100,88.9,88.9
"Galatella linosyris (L.) Rchb.f. subsp. linosyris",96.6,300,191.3,87.9
"Viburnum opulus L.",88.9,100,88.9,88.9
"Carthamus caeruleus L.",2,100,2,2
"Linaria vulgaris Mill. subsp. vulgaris",89.1,200,88.9,2
"Crepis neglecta L.",88.9,100,88.9,88.9
"Medicago scutellata (L.) Mill.",88.9,100,88.9,88.9
"Vicia bithynica (L.) L.",17.8,100,17.8,17.8
"Cytisus scoparius (L.) Link subsp. scoparius",88.9,100,88.9,88.9
"Trifolium squarrosum L.",88.9,100,88.9,88.9
"Catabrosa aquatica (L.) P.Beauv.",88.9,100,88.9,88.9
"Koeleria splendens C.Presl",88.9,100,88.9,88.9
"Urospermum dalechampii (L.) F.W.Schmidt",88.9,100,88.9,88.9
"Cymbalaria muralis G.Gaertn., B.Mey. & Scherb. subsp. muralis",88.9,100,88.9,88.9
"Myosotis ramosissima Rochel subsp. ramosissima",88.9,100,88.9,88.9
"Festuca geniculata (L.) Lag. & Rodr. subsp. geniculata",88.9,100,88.9,88.9
"Veronica prostrata L.",88.9,100,88.9,88.9
"Verbascum pulverulentum Vill.",290.2,100,290.2,290.2
"Pyrus cordata Desv.",46.5,100,46.5,46.5
"Vicia elegantissima Shuttlew. ex Rouy",66.7,100,66.7,66.7
"Genista pilosa L.",13.4,100,13.4,13.4
"Schoenoplectus triqueter (L.) Palla",48.5,100,48.5,48.5
